province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,物理,天津体育学院,专业组 213,503,159496,本科批,1,物理,0,院校代码:10071;专业组:213;计划数:1
广东,2025,物理,河北工程大学,专业组 207,504,157849,本科批,2,物理,0,院校代码:10076;专业组:207;计划数:2
广东,2025,物理,河北工程大学,专业组 208,526,119518,本科批,2,物理,0,院校代码:10076;专业组:208;计划数:2
广东,2025,物理,河北工程大学,专业组 209,527,116360,本科批,12,物理,0,院校代码:10076;专业组:209;计划数:12
广东,2025,物理,河北工程大学,专业组 210,557,70817,本科批,2,物理,0,院校代码:10076;专业组:210;计划数:2
广东,2025,物理,河北工程大学,专业组 211,548,84123,本科批,2,物理,0,院校代码:10076;专业组:211;计划数:2
广东,2025,物理,河北地质大学,专业组 205,514,139281,本科批,11,物理,0,院校代码:10077;专业组:205;计划数:11
广东,2025,物理,河北地质大学,专业组 206,518,133256,本科批,12,物理,0,院校代码:10077;专业组:206;计划数:12
广东,2025,物理,河北地质大学,专业组 207,523,124324,本科批,6,物理,0,院校代码:10077;专业组:207;计划数:6
广东,2025,物理,华北水利水电大学,专业组 204,549,82706,本科批,29,物理,0,院校代码:10078;专业组:204;计划数:29
广东,2025,物理,华北水利水电大学,专业组 205,555,73611,本科批,4,物理,0,院校代码:10078;专业组:205;计划数:4
广东,2025,物理,华北水利水电大学(中外合作办学),专业组 206,533,107762,本科批,4,物理,0,院校代码:10078;专业组:206;计划数:4
广东,2025,物理,华北电力大学(保定),专业组 207,589,35958,本科批,13,物理,0,院校代码:10079;专业组:207;计划数:13
广东,2025,物理,华北电力大学(保定),专业组 208,605,23226,本科批,98,物理,0,院校代码:10079;专业组:208;计划数:98
广东,2025,物理,河北工业大学,专业组 205,599,27099,本科批,25,物理,0,院校代码:10080;专业组:205;计划数:25
广东,2025,物理,河北工业大学,专业组 206,582,41901,本科批,10,物理,0,院校代码:10080;专业组:206;计划数:10
广东,2025,物理,河北工业大学,专业组 207,599,27130,本科批,4,物理,0,院校代码:10080;专业组:207;计划数:4
广东,2025,物理,河北工业大学,专业组 208,609,20577,本科批,6,物理,0,院校代码:10080;专业组:208;计划数:6
广东,2025,物理,河北工业大学(联合培养),专业组 209,585,39297,本科批,6,物理,0,院校代码:10080;专业组:209;计划数:6
广东,2025,物理,河北工业大学(联合培养),专业组 210,585,38848,本科批,2,物理,0,院校代码:10080;专业组:210;计划数:2
广东,2025,物理,华北理工大学(联合培养),专业组 215,504,157243,本科批,2,物理,0,院校代码:10081;专业组:215;计划数:2
广东,2025,物理,华北理工大学,专业组 216,526,118526,本科批,3,物理,0,院校代码:10081;专业组:216;计划数:3
广东,2025,物理,华北理工大学,专业组 217,518,132194,本科批,15,物理,0,院校代码:10081;专业组:217;计划数:15
广东,2025,物理,华北理工大学,专业组 218,528,116190,本科批,3,物理,0,院校代码:10081;专业组:218;计划数:3
广东,2025,物理,华北理工大学,专业组 219,568,57711,本科批,2,物理,0,院校代码:10081;专业组:219;计划数:2
广东,2025,物理,河北医科大学,专业组 206,548,83615,本科批,6,物理,0,院校代码:10089;专业组:206;计划数:6
广东,2025,物理,河北医科大学,专业组 207,553,76718,本科批,12,物理,0,院校代码:10089;专业组:207;计划数:12
广东,2025,物理,河北医科大学,专业组 208,528,115903,本科批,4,物理,0,院校代码:10089;专业组:208;计划数:4
广东,2025,物理,河北北方学院,专业组 202,537,101265,本科批,5,物理,0,院校代码:10092;专业组:202;计划数:5
广东,2025,物理,河北北方学院,专业组 203,530,112874,本科批,2,物理,0,院校代码:10092;专业组:203;计划数:2
广东,2025,物理,河北北方学院,专业组 204,509,147618,本科批,3,物理,0,院校代码:10092;专业组:204;计划数:3
广东,2025,物理,承德医学院,专业组 202,550,81414,本科批,3,物理,0,院校代码:10093;专业组:202;计划数:3
广东,2025,物理,河北师范大学,专业组 205,555,74061,本科批,4,物理,0,院校代码:10094;专业组:205;计划数:4
广东,2025,物理,河北师范大学,专业组 206,508,150996,本科批,8,物理,0,院校代码:10094;专业组:206;计划数:8
广东,2025,物理,衡水学院,专业组 213,497,169881,本科批,2,物理,0,院校代码:10101;专业组:213;计划数:2
广东,2025,物理,衡水学院,专业组 214,501,163539,本科批,4,物理,0,院校代码:10101;专业组:214;计划数:4
广东,2025,物理,衡水学院,专业组 215,495,173599,本科批,2,物理,0,院校代码:10101;专业组:215;计划数:2
广东,2025,物理,衡水学院(中外合作办学),专业组 216,488,185693,本科批,2,物理,0,院校代码:10101;专业组:216;计划数:2
广东,2025,物理,邯郸学院,专业组 204,494,175503,本科批,6,物理,0,院校代码:10103;专业组:204;计划数:6
广东,2025,物理,邢台学院,专业组 204,494,175033,本科批,2,物理,0,院校代码:10104;专业组:204;计划数:2
广东,2025,物理,沧州师范学院,专业组 204,497,169994,本科批,10,物理,0,院校代码:10105;专业组:204;计划数:10
广东,2025,物理,石家庄铁道大学,专业组 207,541,94799,本科批,1,物理,0,院校代码:10107;专业组:207;计划数:1
广东,2025,物理,石家庄铁道大学,专业组 208,540,96703,本科批,6,物理,0,院校代码:10107;专业组:208;计划数:6
广东,2025,物理,石家庄铁道大学,专业组 209,566,60221,本科批,2,物理,0,院校代码:10107;专业组:209;计划数:2
广东,2025,物理,石家庄铁道大学,专业组 210,564,62565,本科批,1,物理,0,院校代码:10107;专业组:210;计划数:1
广东,2025,物理,山西大学,专业组 204,566,59670,本科批,38,物理,0,院校代码:10108;专业组:204;计划数:38
广东,2025,物理,太原科技大学,专业组 202,526,118719,本科批,18,物理,0,院校代码:10109;专业组:202;计划数:18
广东,2025,物理,中北大学,专业组 218,531,109890,本科批,14,物理,0,院校代码:10110;专业组:218;计划数:14
广东,2025,物理,中北大学,专业组 219,580,43960,本科批,6,物理,0,院校代码:10110;专业组:219;计划数:6
广东,2025,物理,中北大学,专业组 220,547,85409,本科批,154,物理,0,院校代码:10110;专业组:220;计划数:154
广东,2025,物理,中北大学,专业组 221,570,55243,本科批,16,物理,0,院校代码:10110;专业组:221;计划数:16
广东,2025,物理,太原理工大学,专业组 203,579,45789,本科批,120,物理,0,院校代码:10112;专业组:203;计划数:120
广东,2025,物理,山西农业大学,专业组 210,491,181837,本科批,17,物理,0,院校代码:10113;专业组:210;计划数:17
广东,2025,物理,山西农业大学,专业组 211,498,168370,本科批,10,物理,0,院校代码:10113;专业组:211;计划数:10
广东,2025,物理,山西农业大学,专业组 212,530,111273,本科批,3,物理,0,院校代码:10113;专业组:212;计划数:3
广东,2025,物理,山西农业大学,专业组 213,493,177026,本科批,8,物理,0,院校代码:10113;专业组:213;计划数:8
广东,2025,物理,山西农业大学,专业组 214,493,176626,本科批,17,物理,0,院校代码:10113;专业组:214;计划数:17
广东,2025,物理,山西医科大学,专业组 207,530,111853,本科批,2,物理,0,院校代码:10114;专业组:207;计划数:2
