province,year,track,university,major,min_score,min_rank,batch,admission_count,subject_requirement,tuition,notes
广东,2025,历史,东北师范大学,专业组 218,596,5998,本科批,3,历史,0,院校代码:10200;专业组:218;计划数:3
广东,2025,历史,北华大学,专业组 206,526,38918,本科批,2,历史,0,院校代码:10201;专业组:206;计划数:2
广东,2025,历史,北华大学,专业组 207,518,44484,本科批,12,历史,0,院校代码:10201;专业组:207;计划数:12
广东,2025,历史,吉林师范大学,专业组 204,528,37309,本科批,4,历史,0,院校代码:10203;专业组:204;计划数:4
广东,2025,历史,吉林师范大学,专业组 205,552,23030,本科批,2,历史,0,院校代码:10203;专业组:205;计划数:2
广东,2025,历史,长春师范大学,专业组 206,535,33027,本科批,2,历史,0,院校代码:10205;专业组:206;计划数:2
广东,2025,历史,长春师范大学,专业组 207,548,25178,本科批,6,历史,0,院校代码:10205;专业组:207;计划数:6
广东,2025,历史,吉林财经大学,专业组 208,545,26931,本科批,16,历史,0,院校代码:10207;专业组:208;计划数:16
广东,2025,历史,吉林财经大学(中外合作办学),专业组 209,528,37489,本科批,4,历史,0,院校代码:10207;专业组:209;计划数:4
广东,2025,历史,黑龙江大学,专业组 209,555,21469,本科批,1,历史,0,院校代码:10212;专业组:209;计划数:1
广东,2025,历史,黑龙江大学,专业组 210,524,39946,本科批,40,历史,0,院校代码:10212;专业组:210;计划数:40
广东,2025,历史,哈尔滨理工大学,专业组 207,523,40752,本科批,20,历史,0,院校代码:10214;专业组:207;计划数:20
广东,2025,历史,燕山大学,专业组 204,555,21701,本科批,14,历史,0,院校代码:10216;专业组:204;计划数:14
广东,2025,历史,哈尔滨工程大学,专业组 208,589,8071,本科批,6,历史,0,院校代码:10217;专业组:208;计划数:6
广东,2025,历史,哈尔滨工程大学,专业组 209,593,6933,本科批,1,历史,0,院校代码:10217;专业组:209;计划数:1
广东,2025,历史,黑龙江科技大学,专业组 205,520,42951,本科批,2,历史,0,院校代码:10219;专业组:205;计划数:2
广东,2025,历史,黑龙江科技大学,专业组 206,518,44156,本科批,17,历史,0,院校代码:10219;专业组:206;计划数:17
广东,2025,历史,东北石油大学,专业组 201,541,29370,本科批,3,历史,0,院校代码:10220;专业组:201;计划数:3
广东,2025,历史,东北石油大学,专业组 206,560,19096,本科批,1,历史,0,院校代码:10220;专业组:206;计划数:1
广东,2025,历史,佳木斯大学,专业组 208,517,44923,本科批,5,历史,0,院校代码:10222;专业组:208;计划数:5
广东,2025,历史,佳木斯大学,专业组 209,515,46596,本科批,5,历史,0,院校代码:10222;专业组:209;计划数:5
广东,2025,历史,佳木斯大学,专业组 210,516,45961,本科批,5,历史,0,院校代码:10222;专业组:210;计划数:5
广东,2025,历史,佳木斯大学,专业组 211,516,45299,本科批,14,历史,0,院校代码:10222;专业组:211;计划数:14
广东,2025,历史,东北农业大学,专业组 208,572,13879,本科批,9,历史,0,院校代码:10224;专业组:208;计划数:9
广东,2025,历史,东北农业大学,专业组 209,575,12664,本科批,3,历史,0,院校代码:10224;专业组:209;计划数:3
广东,2025,历史,东北农业大学(联合培养),专业组 218,530,36027,本科批,2,历史,0,院校代码:10224;专业组:218;计划数:2
广东,2025,历史,东北林业大学,专业组 207,573,13743,本科批,7,历史,0,院校代码:10225;专业组:207;计划数:7
广东,2025,历史,哈尔滨医科大学,专业组 207,555,21606,本科批,1,历史,0,院校代码:10226;专业组:207;计划数:1
广东,2025,历史,黑龙江中医药大学,专业组 205,563,17746,本科批,2,历史,0,院校代码:10228;专业组:205;计划数:2
广东,2025,历史,哈尔滨师范大学,专业组 211,549,24758,本科批,5,历史,0,院校代码:10231;专业组:211;计划数:5
广东,2025,历史,哈尔滨师范大学,专业组 212,523,40591,本科批,21,历史,0,院校代码:10231;专业组:212;计划数:21
广东,2025,历史,哈尔滨师范大学,专业组 213,557,20409,本科批,2,历史,0,院校代码:10231;专业组:213;计划数:2
广东,2025,历史,齐齐哈尔大学,专业组 205,518,44524,本科批,19,历史,0,院校代码:10232;专业组:205;计划数:19
广东,2025,历史,齐齐哈尔大学,专业组 206,516,45672,本科批,4,历史,0,院校代码:10232;专业组:206;计划数:4
广东,2025,历史,齐齐哈尔大学,专业组 210,516,45323,本科批,3,历史,0,院校代码:10232;专业组:210;计划数:3
广东,2025,历史,牡丹江师范学院,专业组 208,518,44349,本科批,4,历史,0,院校代码:10233;专业组:208;计划数:4
广东,2025,历史,牡丹江师范学院,专业组 209,517,45073,本科批,13,历史,0,院校代码:10233;专业组:209;计划数:13
广东,2025,历史,哈尔滨学院,专业组 206,521,42068,本科批,1,历史,0,院校代码:10234;专业组:206;计划数:1
广东,2025,历史,哈尔滨学院,专业组 207,517,44697,本科批,9,历史,0,院校代码:10234;专业组:207;计划数:9
广东,2025,历史,哈尔滨学院,专业组 208,517,44858,本科批,1,历史,0,院校代码:10234;专业组:208;计划数:1
广东,2025,历史,哈尔滨商业大学,专业组 206,520,42858,本科批,10,历史,0,院校代码:10240;专业组:206;计划数:10
广东,2025,历史,哈尔滨商业大学,专业组 207,522,41646,本科批,16,历史,0,院校代码:10240;专业组:207;计划数:16
广东,2025,历史,哈尔滨体育学院,专业组 206,516,45663,本科批,4,历史,0,院校代码:10242;专业组:206;计划数:4
广东,2025,历史,哈尔滨体育学院,专业组 207,514,47324,本科批,4,历史,0,院校代码:10242;专业组:207;计划数:4
